comment,toxic,pred,regex_matches
"вот только вопрос: нахуя таким быть? уметь чуть больше чем нихуя, врать в анкете, что могу все, тупить на работе, а потом ныть про низкие зп и с умным ебалом доказывать всем(а на самом деле врать себе), что нынче специалисты никому не нужны. я тоже начинал с эникея в одной фирме с зп 15к. честно сказал, что могу переустановить винду накатить дрова, ну и по железу определить, что сломалось и починить, вообщем привести комп в чувства и не более. далее изучал веб языки и подрабатывал на фри-лансе, потом подмял под себя сайт компании, далее выучив 1с, освоив asterisk на среднем уровне и переведя весь офис на ip телефонию стал незаменимым(ну или очень сложно заменимым) сотрудником в компании, т.к. в нашем городке ооочень трудно найти человека, который и компы чинить будет и сайт поддерживать и телефонию и в 1с программировать(мне это сам генеральный сказал, т.к я на изи заменяю 3-4 человек). ну и зп выросла в 4 раза с тех пор.",0.0,1,ебалом
"бляяя. у меня такая же фигня. все слышно, что у соседей сверху, будто дома у меня...",0.0,1,бляяя
"какой алгоритм, блядь? отправил жалобу на бан и модератор подтвердил бан",0.0,1,блядь
"и ебаной бритвой ебаной электробритвой, офк. идеально аналог one blade, тот вообще идеально точный, легкий и неощутимый. но даже ебаным харьковом бриться в 10 раз комфортнее чем лезвием.",0.0,1,"ебаной, ебаной, ебаным"
"это все хорошо, но страна.уа контора уровня фбк или цензора, половина новостей фейк пруфов что это фейк конечно же не будет, да порохобот ебанный?",0.0,1,ебанный
"а программки, музыку, фильмы можно невозбранно пиздить, это же просто пиксели . я например купил программу и становлюсь владельцем и могу распоряжаться на свое усмотрение",0.0,1,"пиздить, пиздить"
"наблюдал как-то картину, как не поделив дорогу, 2 авто остановились, один вышел с газовым, второй с перцовкой, пизды получил тот кто с газовым, ибо промахнулся с двух выстрелов.",0.0,1,"пизды, пизды"
"тоже три однокурсника из швитой съебали в ужасе через год-два. в испахе из знакомых русскоязычных домой поехали почти все через 2-6 лет. осталась парочка с норм условиями (своя хата норм работа) и парочка на хуевых условиях (съем конуры в ебенях калым какой-нибудь типа мыть полы или ложить плитку). остальные все вернулись домой, работают, квартиры купили, женятся и все такое, в европку наезжают просто отдохнуть. собсно, я тоже.",0.0,1,ебенях
"как-то мало, за 2 месяца еботни, еще и разделить на двоих и вычесть аренду, и всю мелочевку. хотя для начала может быть и норм. я в алмате наклейки для авто клепаю у себя дома, в месяц выходит где-то 150-300к - 10-20 тыс материал. при этом большую часть времени тупо сижу играю в игры, на пикабу зависаю. планирую докупить какой-нибудь принтер типо коники или ксерокса и брать заказы как типография.",0.0,1,еботни
"конечно в стиле ванги.... 1. вы не любите себя и ваши предложения дружбы воспринимаются как просьбы подружить с вами. 2. унылое ебало, воспринимается как болезнь на подсознании. типа беги от больного... 3. все стремятся дружить с людьми знакомством с которыми можно похвастаться, я не говорю про тру друзей, а вот в приятелях все стремятся выбрать интересных людей. рецепт: одеваешься максимально красиво и идешь на мероприятие которое постоянно откладывала. и самое главное, получаешь удовольствие от новых впечатлений с ощущением, мне похуй на ваше отношение. люди подтянуться, всегда подтягиваются, когда они вам не нужны. p.s. а за дружбу я хз, это как любовь, либо везет либо нет",0.0,1,ебало
"смотря у кого заказывать. я с когда ебея из кореи заказывал, то доставка была бесплатной. заказывал себе пятилезвенный станок с батарейкой и 9-ю лезвиями в комплекте за неполных 2000р. с учетом того, что эти лезвия живут дольше, чем gillette fusion. можно было купить пятилезвенный станок (обычная ручка) с 17-ю лезвиями в комплекте за 2700. не знаю как сейчас.",0.0,1,ебея
"да просто разработчики хуй клали на здравый смысл, ибо стилистика - важнее.",0.0,1,"хуй, хуй"
хули ты тут рыбой машеш? где блядь тевтонцы????,0.0,1,блядь
"нахуй сразу, я хочу жить в красивом и удобном городе, а не на магистрали, итак везде одни жоповозки, вот реально, идешь до магазина 5 минут и все кругом просто заставлено машинами, просто пиздец какой то, один большой гараж.",0.0,1,"пиздец, пиздец"
"это повод написать отдельный пункт к вашей статье о необходимости не забывать заранее делать закладные для коммуникаций, а не вскользь это упомянуть при описании свойств пенопласта. плюс при отрывке траншей под ленты желательно одновременно сделать траншеи под коммуникации. потому, что потом из-за этой мелкой оплошности (забыть вставить закладные) строители ебутся с сверлением дыр в 40-сантиметровых стенах, прораб теряет время выделяя на это рабочих, заказчик теряет бабки за дополнительные работы.",0.0,1,ебутся
"а это в целом универсальный способ продвижения, работающий в любой сфере, от пиццерии с акциями при покупке от х рублей пицца в подарок , до агентств недвижимости, предлагающих путевку в турцию ебипет при покупке кварьиры.",0.0,1,ебипет
"фортнайт и пабги тому пример wrong. так как годность определяется исключительно личными вкусами потребителя, то корректнее будет рассматривать успешность на рынке. и, что показательно, бесплатный фортнайт выбил землю из-под ног пабга, хотя прибыль обеих игр по большей части шла от микротранзакций. а в случае ведьмаков куда практичнее воспитывать вкус потребителя, нежели пиздить его палкой и принуждать что-то делать. найми юриста, приди в их фирму, составьте подробный контракт, фиксирующий обмен имеющихся чертежей на деньги. идеи лучше привязать к физическому объекту, потому что физические объекты куда легче правильно рассмотреть со стороны закона. если они возьмут чертежи и не выплатят деньги - идешь в суд с заявлением о невыполненном контракте, суд идет к ним и восстанавливает справедливость.",0.0,1,"пиздить, пиздить"
"история подводной лодки курск фильм получился очень хорошим. без пропагандонщины. правдивый. все как по официальным отчетам было. только вот смешно когда нужно показать эностранцу город и жизнь в россии, ему нужно в искать самые зашкваренные раены у себя. напомню, в курске ебнула торпеда. а именно ее топливо. топливо которое уже доставляло белым людям хлопот и были катастровы на лодке из за него. потому от него отказались. но у рашки не было денег от него отказыватся, и необучаемость погубила подлодку и людей. это топливо с прикосновением метала очень взрывоопасно становится, вот и случилось. так же экипаж не могли достать из за того что не было рабочих средств спасения. европейцы предлагали свою помощь и даже прислали уже на место крушения свои спасательные подлодки. но их помощь не приняли. мол сами справимся. что мы сверх подержава или нет?! оказалось нет. еще расследование показало что экипаж случайно устроил у себя там в безопасном отсеке мини-взрыв, потеряв таким образом последний воздух.",0.0,1,ебнула
"надеюсь в будущем таких экспертов начнут щемить за эти самые сексуальные провокации зрителей. увы, не будут. основная ца всей этой ютубовской околополитики - молодежь мужского пола, спермотоксикозники. они кого угодно на пьедестал посадят, лишь бы была пизда. мариговори, самойлова, гарсия...тренд только набирает обороты.",0.0,1,"пизда, пизда"
"господа, а дмс со стоматологией за свои деньги (не от работодателя) оформлял кто? думаю, может есть шанс себе профиты заиметь с такого дела, пусть даже заплачу 20к, но в порядок привести весь пиздец в пасти уже давно надо, по отдельности вроде как дороже выйдет",0.0,1,"пиздец, пиздец"
"есть производитель и ритейл, и у каждого свои основные средства не будем глубоко вникать, обратим внимание на самое основное у производителя - специализированное оборудование, его обслуживание, ремонт и модернизация, квалифицированный персонал у ритейла - помещение, стандартное оборудование, логистика, низкоквалифицированный персонал если производитель начнет строить свою сеть основные средства потребуются от обоих направлений, а это траты. кроме того, производитель, как правило, работает в одном направлении - соответственно, купить в этой сети одновременно молоко, яйца, пиво, сигареты, сковородку и тортик будет невозможно, а значит придется повышать цены еще больше, чтоб отбить расходы. но повышение цены снижает спрос, и в итоге сеть загнется раньше, чем дойдет до соседнего города. тс, может, и пиздабол, но все сети требуют (не)приличные скидки и бонусы от своих поставщиков. цифра в 4 вполне возможна при работе с сетями, а для мелких магазинчиков у дома может быть и больше, чтобы отбить затраты от ритейла пс я на диване",0.0,1,"пиздабол, пиздабол"
"такая же ситуация ,один в один. сбросил телефон на заводские, подключил к вифи, оставил на ночь. утром минус 2 гига. такой же разговор с поддержкой, неисправностей не обнаружено . вообщем позиция yota такая : отключаем платные подписки, просто пиздим трафик. также разочарован в yota. прямо обидно.",0.0,1,"пиздим, пиздим"
"насколько я помню, на одном из нпо в начале 2000-х уже была комбинация этой системы с системой электронного учета - на обороте этих пропусков, которые выпадали по нажатию кнопки, был еще и штрих-код, который сканировала тетенька в будке, параллельно глядя на пропуск. я точно помню, что спускали вниз потом по отделам структурам списки с точным временем входа-выхода, а потом на их основе ебали нещадно за опоздания прогулы.",0.0,1,ебали
павел воля может в обычной жизни и хороший человек. мне понравился как он озвучил фильм пол секретный матреиальчик. но тнт и камеди клаб ебаное днище..смотреть противно...в начале когда то давно было смешно..а щас одни сиськи да письки...ппц смешно.. прям ржу,0.0,1,ебаное
"забавный персонаж, но срач который он разводит своим раздутым чсв мне не очень нравится. классный преподаватель с хорошим и качественным примерным показателем. мне нравится что он активный, что у него постоянно какие-то конкурсы (пусть там и разыгрывают за первое место какие-то жалкие 4 пачки струн от дадарио), постоянно какие-то стримы и так далее - т.е. видно что человек пиздец какой гиперактивный, но зачастую его гиперактивность очень сильно раздражает. его высказывания в адрес звездил мирового уровня я поощряю ... но он не хочет раскрывать эту тему полнее, ибо если он ее конкретно раскроет, то срача не будет, а он очень важен для него и его канала в целом как я понял. мне очень понравилось, что он обосрал уебищных блоггерков, которые даже риф из 4х квинт чисто сыграть не могут. я был в неописуемом восторге, что мол - вот оно! наконец-то! . но в остальном фред бесит своим критическим мышлением. многие красивые вещи для него - хуйня. оно в принципе и понятно из его группового творчества, что чувак утратил чувство прекрасного и для него остался только жесткий, обрубленный гитарно-технический прогматизм. складывается впечатление, что именно на этой почве у него он и развивается, т.е. он как чиновник с маленьким хуем, который пытается заглушить свои комплексы баблом, только фред пытается сделать это с помощью гитарной техники. нахуй драйв, нахуй душу так называемую - главное сыграть чисто и без помарочки. ну сори ... мне кажется для адекватного слушателя - этого маловато. sithu aye,имхо, намного мелодичнее и интереснее играет, хотя в плане техники ниже скилом, но его почему то слушает в сотни раз больше людей, чем фреда о о phlini к примеру - такого же поля ягода. чувак не так чисто играет, но очень ярко, мелодично и с настроением и его тоже почему-то больше людей слушают, чем фреда о о может быть дело как раз таки в драйве и душе о о мне кажется фред в этом плане заблуждается капитально, а его чсв, раздутое преподаванием, мешает ему это принять и понять. в целом, если выбирать из разряда говна техничного и говна просто так, которое любит попиздеть, размахивая хорошими инструментами и которое нихуя не умеет играть на них же, то я выбиру первое.",0.0,1,"пиздец, пиздец"
нихуясе цены изменились . изменились это с 200 000 до 250 000. а это - цены ебанули в космос.,0.0,1,ебанули
"я вот не то чтобы топлю за рен тв и прочее. старался объективно изучать все исследования на эту тему лет 5. как ни крути там помимо технологических фокусов, есть масса довольно любопытных, тупо логических проблем, которые ну вот никак не бьются ни с одной из современных теорий. почему то иногда хочется чтобы в самых ебенях перуанских гор, или на глубине 800 метров под пирамидами откопали таки, одно неразграбленное захоронение , и там реально оказался скафандр и лазер. посмотреть на реакцию всех этих пилильщиков вручную .",0.0,1,ебенях
кто нашел фильмы ебжена и их смотрит а зачем?,0.0,1,ебжена
